boss_id,name,火,氷,風,土,雷,光,闇,攻撃ダウン,守備ダウン,すばやさダウン,ニフラム,即死,眠り,混乱,魅了,マヒ,毒,幻惑,転び,笑い,うっとり,みとれ
boss_001,ゴーレム,2,2,3,1,3,2,2,2,2,2,4,4,1,3,3,4,4,3,3,4,4,3
boss_002,チョッキンガー,1,1,1,1,1,1,1,2,1,2,4,4,4,2,2,2,2,1,2,2,2,4
boss_003,マチルダ,1,3,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
boss_004,炎の巨人,3,1,2,2,2,2,2,2,2,2,4,4,3,3,2,3,3,4,4,4,2,2
boss_005,デスアミーゴ,1,1,1,1,1,1,1,3,3,2,4,4,3,4,3,4,2,3,3,2,3,3
boss_006,マシンマスター,2,2,2,2,2,2,2,3,3,2,4,4,4,4,3,4,4,3,3,3,3,3
boss_007,デスマシーン,3,1,3,3,1,3,3,3,3,3,4,4,4,4,4,4,4,2,3,3,3,3
boss_008,ジャン,3,3,2,2,1,1,3,2,2,2,4,4,3,3,4,3,4,3,4,4,4,4
boss_009A,イノップ,1,3,2,3,2,1,2,2,2,2,4,4,3,3,4,3,4,4,3,4,4,4
boss_009B,ゴンズ,1,1,2,3,2,1,1,2,2,2,4,4,3,4,3,4,4,4,2,3,4,4
boss_010,ネペロ,2,2,2,2,2,2,2,2,2,2,4,4,3,3,4,4,2,2,2,4,4,4
boss_011,ガルシア,2,2,2,2,2,2,2,2,2,2,4,4,3,4,3,4,2,3,3,4,4,3
boss_012,トンプソン,2,2,2,2,2,2,2,2,2,2,4,4,3,4,4,4,4,3,3,4,4,4
boss_013,ネリス,1,3,3,1,2,1,2,3,3,2,4,4,4,4,4,4,4,3,3,4,4,4
boss_014,アントリア,3,1,2,2,3,3,1,2,3,3,4,4,3,4,4,4,4,3,3,4,4,4
boss_015A,さんぞく兵,2,2,3,2,2,3,2,3,3,2,4,4,3,4,4,4,3,3,4,1,4,4
boss_015B,さんぞくマージ,3,2,2,2,2,2,3,2,2,2,4,4,4,1,4,4,3,3,4,4,4,4
boss_015C,さんぞく,3,3,3,2,2,2,2,2,2,2,4,4,1,3,4,2,2,3,2,4,4,4
boss_015D,エテポンゲ,1,1,3,1,1,1,1,3,3,2,4,4,3,3,2,4,4,3,2,3,2,2
boss_016,さんぞくのカシラ,2,1,3,2,2,2,2,2,2,2,4,4,4,4,4,4,3,3,2,2,4,1
boss_017,ボーンライダー,1,3,1,1,1,1,3,2,2,2,2,3,3,4,4,4,2,3,2,3,3,3
boss_018,セト,3,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,2,3,3,4,4,4
boss_019A,ユバールの守り手たち：ゴトス,2,2,2,2,2,2,2,2,2,2,4,4,4,1,1,4,1,4,4,4,4,2
boss_019B,テラミス,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2
boss_019C,ポルル,2,2,2,2,2,2,2,2,2,2,4,4,3,4,4,3,4,3,3,3,3,4
boss_020,海底のゴースト,3,2,1,2,3,3,3,2,2,2,4,4,4,3,4,4,4,3,4,4,4,4
