boss_id,name,location,story_id,phase_count,hp,atk,def,agi,actions_summary,drop_items,exp,gold,notes,last_verified
boss_001,ゴーレム,東の塔,st_012,1,260,32,16,12,通常攻撃/特技,ふしぎな石版緑,81,60,メモ例,2026-02-09
boss_002,チョッキンガー,東の塔,st_013,1,250,48,25,24,通常攻撃/メラ/ホイミ/大ぼうぎょ,まほうの小ビン,388,78,弱点メラヒャドマヌーサ,2026-02-09
boss_003,マチルダ,東の塔,,1,280,35,30,150,"木の人形を渡してる場合：通常攻撃・ベホイミ・様子を見る
木の人形を渡していない場合：通常攻撃・かえん斬り・ヒャド・ちからため",,24,30,人形を渡してる場合：逃げるで戦闘を終了可能,2026-02-09
boss_004,炎の巨人,炎の山,,1,620,44,64,3,通常攻撃・おしつぶし・ひのいき・ちからため,ふしぎな石版赤,217,150,魂に火がついた：氷耐性上がる,2026-02-09
boss_005,デスアミーゴ,魔封じの洞くつ,,1,600,60,35,20,通常攻撃・かまいたち・ドルマ・まぶしい光,,278,250,,2026-02-09
boss_006,マシンマスター,過去からくり兵団拠点,,1,480,64,45,45,通常攻撃・ふりまわす・なかまをよぶ・ベホマラー,,338,270,,2026-02-09
boss_007,デスマシーン,過去からくり兵団拠点,,1,850,76,50,38,通常攻撃・ひのいき・まぶしい光・いてつくはどう・ふところにきりこむ,ふしぎな石版青,629,50,,2026-02-09
boss_008,ジャン,過去神の祭だんの湖,,1,1070,64,44,32,通常攻撃・するどいツメ・おぞましいおたけび・みずばしら・ルカニ,,701,320,,2026-02-09
boss_009A,イノップ,過去牢獄へ続く洞くつ,,1,440,70,28,60,通常攻撃・痛恨の一撃,,0,0,同時出現・1戦目負けイベ,2026-02-09
boss_009B,ゴンズ,過去牢獄へ続く洞くつ,,1,390,74,30,66,通常攻撃・おたけび・すなけむり,,0,0,同時出現・1戦目負けイベ,2026-02-09
boss_010,ネペロ,過去ダーマ神殿,,1,360,70,47,100,通常攻撃・ヒャド・メダパニ・マホトーン,,342,70,ドラゴスライム3体と同時出現,2026-02-09
boss_011,ガルシア,過去ダーマ神殿,,1,380,98,56,35,通常攻撃・かえんぎり・音速のやいば・スクルト,,352,73,ダンスニードル3体と同時出現,2026-02-09
boss_012,トンプソン,過去ダーマ神殿,,1,350,79,60,30,通常攻撃・バギマ・ラリホー・ベホイミ,,380,88,マドハンド3体と同時出現,2026-02-09
boss_013,ネリス,過去ダーマ神殿,,1,440,82,64,74,通常攻撃・ヒャダルコ・マヒャド斬り・マホターン,,422,0,スライムナイト3体と同時出現,2026-02-09
boss_014,アントリア,過去ダーマ神殿,,1,1600,100,63,75,通常攻撃・ふたつのたま・イオ・ベギラマ・あんこくのきり・しんぴのさとり・マジックバリア・ディバインスペル,,780,543,,2026-02-09
boss_015A,さんぞく兵,現代ダーマ南の廃墟,,1,240,85,55,48,通常攻撃・かえん斬り・ぬすっと斬り・なぎはらい・大きく息を吸い込む,,239,11,4体同時出現,2026-02-09
boss_015B,さんぞくマージ,現代ダーマ南の廃墟,,1,216,72,50,58,通常攻撃・ベギラマ・スクルト・ぬすっと斬り・はげしく振り回す,,,,4体同時出現,
boss_015C,さんぞく,現代ダーマ南の廃墟,,1,192,78,42,78,通常攻撃・どぐがのこな・石つぶて,,,,4体同時出現,
boss_015D,エテポンゲ,現代ダーマ南の廃墟,,1,280,82,40,35,通常攻撃・マッスルダンス・独の息・マホトラおどり・石つぶて,,,,4体同時出現,
boss_016,さんぞくのカシラ,現代山賊のアジト,,1,920,112,45,110,通常攻撃・イオラ・アルテマソード（MPないため不発）,,884,637,,2026-02-09
boss_017,ボーンライダー,過去砂漠の城,,1,1350,95,42,82,通常攻撃・さみだれ突き・ルカナン・ヒャダルコ,てつのやり,920,210,,2026-02-09
boss_018,セト,過去魔王像,,1,1540,106,87,60,通常攻撃・ふりまわす・ルカニ・ばくれつけん,,920,252,,2026-02-09
boss_019A,ユバールの守り手たち：ゴトス,現在海の見える丘,,1,350,86,60,50,通常攻撃・ちからため,,,,3体同時出現（主とアイラ※NPC）,2026-02-09
boss_019B,テラミス,現在海の見える丘,,1,285,80,94,60,通常攻撃,,,,3体同時出現（主とアイラ※NPC）,2026-02-09
boss_019C,ポルル,現在海の見える丘,,1,265,75,68,65,通常攻撃・ヒャド・イオラ,,,,3体同時出現（主とアイラ※NPC）,2026-02-09
boss_020,海底のゴースト,過去海底都市,,3,444,110,74,78,通常攻撃・バギ・一斉攻撃,,219,0,,2026-02-09
boss_021,グラコス,過去海底都市,,1,3200,200,85,65,通常攻撃・もうどくのきり・武器を振り回す・ハリケーン・こおりのいき,,1557,440,,2026-02-09
