No,レベル,キャラID,HP,MP,ちから,みのまもり,攻撃魔力,回復魔力,素早さ,きようさ,魅力,経験値,次レベル
LV1_ch_001,1,ch_001,21,7,5,4,6,6,6,9,6,0,10
LV2_ch_001,2,ch_001,24,10,7,5,8,9,7,12,7,10,39
LV3_ch_001,3,ch_001,27,14,9,6,10,13,9,16,8,49,59
LV4_ch_001,4,ch_001,31,18,11,7,12,16,11,19,9,108,85
LV5_ch_001,5,ch_001,34,21,13,8,14,20,13,23,10,193,172
LV6_ch_001,6,ch_001,36,25,15,9,16,23,15,27,12,365,257
LV7_ch_001,7,ch_001,40,28,16,10,18,27,17,30,13,622,361
LV8_ch_001,8,ch_001,43,32,18,11,20,30,19,34,14,983,485
LV9_ch_001,9,ch_001,47,36,20,12,22,34,21,37,15,1468,628
LV10_ch_001,10,ch_001,52,39,22,13,24,37,23,41,17,2096,1020
LV11_ch_001,11,ch_001,57,45,24,14,27,41,24,45,18,3116,1272
LV12_ch_001,12,ch_001,64,51,27,15,31,45,26,48,19,4388,1575
LV13_ch_001,13,ch_001,71,57,29,16,35,48,28,52,20,5963,1851
LV14_ch_001,14,ch_001,78,63,32,17,39,52,30,55,22,7814,2220
LV15_ch_001,15,ch_001,85,69,34,18,43,55,32,59,23,10034,2604
LV16_ch_001,16,ch_001,92,75,37,19,46,59,34,62,24,12638,3023
LV17_ch_001,17,ch_001,99,81,39,20,50,62,36,66,26,15661,3477
LV18_ch_001,18,ch_001,106,87,42,21,54,66,38,70,27,19138,3968
LV19_ch_001,19,ch_001,114,93,44,22,58,69,40,73,28,23106,4496
LV20_ch_001,20,ch_001,121,100,46,23,62,73,41,77,30,27602,5538
LV21_ch_001,21,ch_001,129,106,50,24,65,76,44,80,34,33140,6208
LV22_ch_001,22,ch_001,137,112,53,25,69,80,47,84,38,39348,6922
LV23_ch_001,23,ch_001,146,118,57,26,73,83,50,87,42,46270,7680
LV24_ch_001,24,ch_001,154,124,60,27,77,87,53,91,46,53950,8485
LV25_ch_001,25,ch_001,163,130,63,28,80,90,56,95,50,62435,9335
LV26_ch_001,26,ch_001,171,136,67,29,84,94,59,98,54,71770,10233
LV27_ch_001,27,ch_001,179,142,70,30,88,97,62,102,58,82003,11177
LV28_ch_001,28,ch_001,188,148,74,31,92,101,65,105,62,93180,12170
LV29_ch_001,29,ch_001,196,154,77,32,95,104,67,109,66,105350,13212
LV30_ch_001,30,ch_001,204,162,80,33,99,108,70,113,70,118562,14303
LV31_ch_001,31,ch_001,212,168,84,34,103,111,73,116,75,132865,15443
LV32_ch_001,32,ch_001,220,174,87,35,107,115,76,120,80,148308,16634
