job_id,name,group,unlock_condition,job_traits,hp_pct,mp_pct,str_pct,def_pct,atk_magic_pct,heal_magic_pct,agi_pct,dex_pct,int_pct,charm_pct,notes,last_verified
job_001,ひよっこ漁師,主人公初期,最初から,海の加護(仲間全員へのすべての攻撃を一度だけ無効にする),↑,,↑,,,,,,↑,↓,,2026/01/12
job_002,ひよっこ王子,キーファ初期,最初から,燃えてきたぜ（守備力を下げて攻撃力と会心率をかなり上げる）,0,0,0,0,0,0,0,0,0,0,,2026/01/12
job_003,ひよっこ網元,マリベル初期,最初から,おみとおし（敵の耐性を見抜き属性攻撃がより効きやすくなる）,0,0,0,0,0,0,0,0,0,0,,2026/01/12
job_004,オオカミ少年,ガボ初期,最初から,野生のちから(数ターンのあいだ勝手に2回行動し 疲れて眠ってしまう),,,,,,,,,,,,
job_005,ユバールの踊り手,アイラ初期,最初から,ペアダンス+(自分にかかった一部の良い効果を隣の仲間1人に付与),,,,,,,,,,,,
job_006,神の兵士,メルビン初期,最初から,かばうの極意+(もっともHPの低い仲間をかばってカウンターする),,,,,,,,,,,,
job_007,戦士,通常職,最初から,かばうの極意(最もHPの低い仲間をかばってカウンターする),,,,,,,,,,,,
job_008,武闘家,通常職,最初から,会心必中のかまえ(会心の一撃が必ず出せる究極のかまえ),,,,,,,,,,,,
job_009,魔法使い,通常職,最初から,魔力暴走(数ターンのあいだ唱える呪文が暴走するようになる),,,,,,,,,,,,
job_010,僧侶,通常職,最初から,神域の奇跡(仲間全員を確実に復活させて悪い効果も消しさる),,,,,,,,,,,,
job_011,踊り子,通常職,最初から,ペアダンス＋(自分にかかった一部の良い効果を隣の仲間1人に付与),,,,,,,,,,,,
job_012,盗賊,通常職,最初から,悪知恵(敵に異常状態を与えると再行動できる),,,,,,,,,,,,
job_013,吟遊詩人,通常職,最初から,バーンラプソディ(仲間全員の消費MPが0になる渾身の狂詩曲),,,,,,,,,,,,
job_014,船乗り,通常職,最初から,ヨーソロー(仲間全員の攻撃力とすばやさをかなり上げる),,,,,,,,,,,,
job_015,羊飼い,通常職,最初から,ととうのひつじ(呼びよせた羊が主の攻撃の後に追撃をしかける),,,,,,,,,,,,
job_016,笑わせ師,通常職,最初から,お笑い魂(笑わせやすくなり敵の攻撃はすっとぼけてかわす),,,,,,,,,,,,
job_017,バトルマスター,上級職,戦士、武闘家をマスター,背水のかまえ(守りを捨てて物理攻撃の威力をぐんと上げる),,,,,,,,,,,,
job_018,魔法戦士,上級職,戦士、魔法使いをマスター,コスモフォース(あらゆる属性を操り全属性威力と耐性をかなり上げる),,,,,,,,,,,,
job_019,賢者,上級職,魔法使い、僧侶をマスター,やまびこのさとり(唱える呪文がやまびことなってこだまする),,,,,,,,,,,,
job_020,スーパースター,上級職,踊り子、吟遊詩人、笑わせ師をマスター,ショータイム(自分以外の仲間がバーストチャージしやすくなる),,,,,,,,,,,,
job_021,まもの使い,上級職,羊飼い、盗賊をマスター,ツワモノ呼び(仲間を呼ぶ時強力な魔物を呼びよせやすくなる),,,,,,,,,,,,
job_022,海賊,上級職,船乗り、盗賊をマスター,うみなりのカノン(攻撃するたび守備力と攻撃力が上がりHPも回復),,,,,,,,,,,,
job_023,パラディン,上級職,武闘家、僧侶をマスター,パラディンガード(騎士のかまえでガード率を最大に ダメージも軽減する),,,,,,,,,,,,
job_024,ゴッドハンド,上級職,バトルマスター、パラディンをマスター,ぶんしん(自らの分身を作り同じ行動をさせて攻撃特技が3人分に),,,,,,,,,,,,
job_025,天地雷鳴士,上級職,賢者、スーパースター、海賊のいずれか2つをマスター,げんま招来(4ターンのあいだターン開始時にげんまを招来する),,,,,,,,,,,,
job_026,勇者,マスター職,上級職3つ以上をマスター,勇者の証(勇者だけが扱える破邪の特技を会得する),,,,,,,,,,,,
