職業,HP,MP,ちから,みのまもり,攻撃魔力,回復魔力,素早さ,きようさ,魅力
ひよっこ漁師,7,0,6,0,0,9,0,8,-10
ひよっこ網元,-9,10,-8,-14,12,0,10,12,12
ひよっこ王子,0,-11,16,10,0,0,0,-5,15
オオカミ少年,-5,-15,12,-7,-10,-10,20,-13,-10
神の兵士,5,0,9,11,-14,14,-20,0,0
ユバールの踊り手,0,-7,0,-6,5,5,18,15,25
戦士,11,-15,16,30,-18,-18,-18,0,0
武闘家,0,-11,48,-15,-20,-30,23,20,0
魔法使い,-10,15,-30,-28,48,12,0,0,10
僧侶,-5,10,-15,-22,15,45,-13,0,5
踊り子,-6,0,-8,-11,0,-14,18,10,22
盗賊,-7,0,5,-5,0,-26,40,30,-25
吟遊詩人,-6,14,-18,-15,-10,14,0,16,16
船乗り,26,-20,12,9,0,-20,0,5,-10
羊飼い,9,0,-9,12,-18,12,-16,12,5
笑わせ師,0,4,-12,0,-15,-15,9,9,30
バトルマスター,6,-10,30,10,-22,-22,16,17,0
魔法戦士,0,11,12,20,15,-15,-12,-10,0
賢者,-9,22,-26,-20,20,25,0,0,10
スーパースター,-4,0,-20,-14,6,8,0,10,40
海賊,18,-14,15,15,0,-24,10,16,-30
パラディン,8,8,10,40,-15,15,-30,-15,0
まもの使い,0,0,5,0,10,-15,-5,10,20
ゴッドハンド,12,0,25,18,-28,-28,20,40,0
天地雷鳴士,-5,35,-20,-9,25,18,0,0,15
勇者,12,12,12,12,12,12,12,12,12
なし,0,0,0,0,0,0,0,0,0
