medal_id,era,area,location,how,notes,last_verified
medal_001,現代,グランエスタード城,王様の部屋の引き出し,調べる,,2026/02/04
medal_002,過去,ウッドパルナ,東の塔6階の宝箱,調べる,,2026/02/04
medal_003,現代,グランエスタード城,城の入口左手側にあるタル,調べる,イカダに乗れるようになってから入手可能,2026/02/04
medal_004,現代,ウッドパルナ,教会裏のツボ,調べる,,2026/02/04
medal_005,過去,エンゴウ 炎の山,3層の宝箱,調べる,,2026/02/04
medal_006,現代,エンゴウの村,宿屋のタンス,調べる,,2026/02/04
medal_007,現代,エンゴウ 炎の山,1層の宝箱,調べる,,2026/02/04
medal_008,過去,ダイアラック,地下の宝箱,調べる,,2026/02/04
medal_009,過去,オルフィーの町,民家のタンス,調べる,,2026/02/04
medal_010,過去,オルフィー 魔封じの洞くつ,5階の宝箱,調べる,,2026/02/04
medal_011,現代,名もなき島,島のキラキラ,調べる,,2026/02/04
medal_012,現代,オルフィー周辺,船着き場のタル,調べる,,2026/02/04
medal_013,現代,オルフィー 魔封じの洞くつ,5階の宝箱,調べる,,2026/02/04
medal_014,現代,フォロッド 聖なる湖,木の下のキラキラ,調べる,,2026/02/04
medal_015,現代,フォロッド からくり兵団拠点,1階のツボ,調べる,,2026/02/04
medal_016,現代,フォロッド フォーリッシュの町,室内のタル,調べる,,2026/02/04
medal_017,現代,フォロッド からくり研究所,室内のツボ,調べる,,2026/02/04
medal_018,過去,ユバール族の休息地,テント付近のツボ,調べる,,2026/02/04
medal_019,過去,ユバール 湖の洞くつ,壁際のキラキラ,調べる,,2026/02/04
medal_020,現代,ユバール 化石の発掘現場,井戸の中のタンス,調べる,,2026/02/04
medal_021,現代,ユバール族の休息地周辺,海の見える丘の南西の小島,調べる,,2026/02/04
medal_022,過去,ダーマ南東の旅の宿,建物裏のタル,調べる,,2026/02/04
medal_023,過去,ダーマ ふきだまりの町,家上のツボ,調べる,,2026/02/04
medal_024,過去,ダーマ 西の洞くつ,2階の宝箱,調べる,,2026/02/04
medal_025,過去,ダーマ 山肌の集落,西端のツボ,調べる,,2026/02/04
medal_026,過去,ダーマ 牢獄へ続く洞くつ,中央の部屋のツボ,調べる,,2026/02/04
medal_027,過去,ダーマ 神殿への地下道,ツボ部屋のツボ,調べる,,2026/02/04
medal_028,過去,ダーマ神殿,左のダメージ床の先の宝箱,調べる,,2026/02/04
medal_029,過去,ダーマ ふきだまりの町,道具屋の左上の宝箱,調べる,,2026/02/04
medal_030,現代,エスタード島 フィッシュベルの村,道具屋の宝箱,調べる,※とうぞくのカギが必要,2026/02/04
medal_031,現代,ダーマ南東の旅の宿,ベッド横の宝箱,調べる,,2026/02/04
medal_032,現代,ダーマ南の廃墟,木の下のキラキラ,調べる,,2026/02/04
