skill_id,name,type,element,mp,power,hit,target,notes,last_verified,damage_mul
sk_001,メラ,呪文,炎,2,,1,敵1体,効果:小さな火の玉で敵1体を攻撃_職業:魔法使い(★1)_ひよっこ網元(★2),2026/02/07,
sk_002,メラミ,呪文,炎,2,,1,敵1体,効果:大きな火の玉で敵1体を攻撃_職業:魔法使い(★3),2026/02/07,
sk_003,メラゾーマ,呪文,炎,2,,1,敵1体,効果:巨大な火の玉で敵1体を焼きつくす_職業:魔法使い(★8),2026/02/07,
sk_004,ギラ,呪文,炎,5,,1,敵1グループ,効果:敵1グループを小さな炎で攻撃_職業:ひよっこ網元(★5),2026/02/07,
sk_005,ベギラマ,呪文,炎,2,,1,敵1グループ,効果:敵1グループをはげしい炎で焼き払う_職業:魔法使い(★4),2026/02/07,
sk_006,ベギラゴン,呪文,光,2,,1,敵1グループ,効果:敵1グループを地獄の火炎で焼き払う_職業:魔法戦士(★2),2026/02/07,
sk_007,イオ,呪文,光,4,,1,敵全体,効果:小さな爆発で敵全体を攻撃_職業:魔法使い(★2)_ひよっこ網元(★6),2026/02/07,
sk_008,イオラ,呪文,光,2,,1,敵全体,効果:大きな爆発で敵全体を攻撃_職業:魔法使い(★6),2026/02/07,
sk_009,イオナズン,呪文,光,4,,1,敵全体,効果:すさまじい爆発で敵全体を攻撃_職業:賢者(★5),2026/02/07,
sk_010,バギ,呪文,風,3,,1,ランダム,効果:小さな竜巻が敵2~3体を切り裂く_職業:僧侶(★2),2026/02/07,
sk_011,バギマ,呪文,風,2,,1,ランダム,効果:はげしい竜巻が敵2~4体を切り裂く_職業:僧侶(★5),2026/02/07,
sk_012,バギクロス,呪文,風,4,,1,ランダム,効果:2本の竜巻が敵2～5体を切り刻む_職業:賢者(★2),2026/02/07,
sk_013,メイルストロム,呪文,風,12,,1,敵1グループ,効果:すさまじい水流で敵1グループにダメージを与える_職業:海賊(★5),2026/02/07,
sk_014,ヒャド,呪文,氷,2,,1,敵1体,効果:氷のやいばで敵1体を攻撃_職業:ひよっこ網元(★4),2026/02/07,
sk_015,ヒャダルコ,呪文,氷,4,,1,敵1グループ,効果:小さな氷の柱が敵1グループをつらぬく_職業:僧侶(★4),2026/02/07,
sk_016,マヒャド,呪文,氷,6,,1,敵全体,効果:敵全体を巻き込む大きな氷の柱が敵に突きささる_職業:魔法戦士(★5),2026/02/07,
sk_017,ライデイン,呪文,雷,4,,1,敵1グループ,効果:敵1グループにはげしい雷が降り注ぐ_職業:勇者(★2),2026/02/07,
sk_018,ギガデイン,呪文,雷,18,,1,敵1グループ,効果:敵1グループにすさまじい雷が降り注ぐ_職業:勇者(★6),2026/02/07,
sk_019,コーラルレイン,呪文,土,12,,1,敵全体,効果:激流でくだけたサンゴのかけらが敵全体に降り注ぐ_職業:船乗り(★4)_ひよっこ漁師(★7),2026/02/07,
