No,強モンスター,出現場所,HP,攻撃,防御,ドロップ
1,おおきづち強,過去ウッドパルナ周辺,370,35,19,おおきづちの心
2,リリパット強,過去エンゴウの村周辺,420,30,29,リリパットの心
3,ねこまどう強,過去オルフィー周辺,390,35,29,ねこまどうの心
4,おおきづち強たち,過去フォロッド周辺,345,72,72,ブラウニーの心
5,バブルスライム強,過去ユバール周辺,320,65,30,バブルスライムの心
6,ダンスニードル強,過去砂漠,1650,100,53,サボテンボールの心
7,ブチュチュンパ強,過去ハーメリア周辺,880,96,47,リップスの心
8,どろにんぎょう強,過去グリンフレーク周辺,3900,152,61,どろにんぎょうの心
9,ポンコツ兵強,過去聖風の谷周辺,4400,162,100,ポンコツ兵の心
10,サイクロプス強,過去レブレサック周辺,4800,210,105,サイクロプスの心
11,ドラゴン強,過去コスタール周辺,2200,175,135,ドラゴンの心
12,いどまじん強,現代コスタール周辺（異変後）,5800,262,180,いどまじんの心
13,だいまどう強,現代レブレサック周辺（異変後）,5400,280,190,だいまどうの心
14,ヘルジュラシック強,現代聖風の谷周辺（異変後）,5200,250,160,ヘルジュラシックの心
15,ゴールドマン強,現代ハーメリア周辺（異変後）,6600,310,200,きんのブレスレット
16,ベホマスライム強,現代ユバール族の休息地周辺（異変後）,5000,240,90,ベホマスライムの心
17,ホワイトパンサー強,現代メモリアリーフ周辺,2800,255,110,キラーパンサーの心
18,ジェリーマン強,現代名もなき島（異変後）,6200,230,96,ジェリーマンの心
