場所,色,時代,場所,方法
ウッドパルナ,黄,現代,なぞの神殿,賢者の像を調べたあとにキーファからもらう
ウッドパルナ,黄,現代,グランエスタード地下道,宝物庫で拾う
ウッドパルナ,黄,現代,七色の入り江,入り江の洞くつ・宝物庫で拾う
ウッドパルナ,黄,現代,フィッシュベルの村,家でポルカノからもらう
エンゴウ,赤,過去,東の塔,5階で拾う
エンゴウ,赤,現代,カラーストーン採掘場,地下3階で拾う
エンゴウ,赤,現代,グランエスタード城,隠し部屋で拾う
オルフィー,緑,過去,東の塔,ゴーレムを倒す
オルフィー,緑,現代,ウッドパルナの村,見晴らし台・2階で商人からもらう
オルフィー,緑,過去,エンゴウの村,問題解決後にパミラからもらう
オルフィー,緑,現代,エンゴウの村,よろずやで拾う
ダイアラック,灰,現代,炎の山,地下で拾う
フォロッド,赤,過去,炎の山,炎の巨人を倒す
フォロッド,赤,過去,魔封じの洞窟,2階で拾う
フォロッド,赤,現代,魔封じの洞窟,1階で拾う
フォロッド,赤,現代,魔封じの洞窟,6階で棺あけてイベントでもらう
ユパール,黄,現代,オルフィーの町,町長の家で拾う
ユパール,黄,過去,からくり研究所,物置で拾う
ユパール,黄,現代,フォーリッシュの町,内部で拾う
ユパール,黄,現代,からくり研究所,問題解決後にアルマンからもらう
ダーマ,青,過去,からくり兵団拠点,デスマシーン倒す
ダーマ,青,現代,化石の発掘現場,テントで拾う
ダーマ,青,現代,グランエスタード城,過去のユパール解決後、バーンズ王からもらう
砂漠,黄,過去,湖の洞くつ,地下3階で拾う
砂漠,黄,過去,ダーマ神殿,問題解決後にフォズからもらう
砂漠,黄,現代,ダーマ神殿,ミレッカからもらう
砂漠,黄,現代,山賊のアジト,内部でさんぞくのカシラを倒す
ハーメリア,青,過去,ふきだまりの町,教会の近くで拾う
ハーメリア,青,過去,砂漠の村,問題解決後に貯蔵庫で拾う
ハーメリア,青,現代,砂漠の城,1階で拾う
ハーメリア,青,現代,海の見える丘,ユパールの守りて達を倒した後にアイラからもらう
グリーンフレーク,灰,現代,フォロッド城,地下室で拾う
グリーンフレーク,灰,過去,ユパール族の休息地,北西のテントの裏で拾う
グリーンフレーク,灰,過去,ダーマ神殿,問題解決後に地下一階で拾う
グリーンフレーク,灰,過去,アボンの村,村長の家2階で拾う
マーディラス,赤,過去,山奥の塔,問題解決後に老楽師から拾う
マーディラス,赤,現代,ハーメリアの町,問題解決後に地下倉庫で拾う
マーディラス,赤,現代,世界一高い塔,頂上でホットストーンを使ったあとにメルビンからもらう
レプレサック,灰,過去,砂漠の城,地下1階で拾う
レプレサック,灰,現代,砂漠の村,ツボの中で拾う
レプレサック,灰,現代,ブルジオの屋敷,1階で拾う
レプレサック,灰,現代,大神殿,地下1階隠し部屋でひろう
聖風の谷,緑,現代,神の兵のほこら,しかばねの近くで拾う
聖風の谷,緑,過去,滝つぼの洞くつ,民家で拾う
聖風の谷,緑,過去,マーディラス城下町,王立魔法研究所1階で拾う
聖風の谷,緑,現代,マーディラス城,王座の間でゲレーテから拾う
コスタール,青,現代,メザレの村,井戸で拾う
コスタール,青,過去,聖風の谷,族長の家で拾う
コスタール,青,現代,リファ族の神殿,4階で拾う
ルーメン,灰,過去,ハーメリアの町,問題解決後に宝物庫で拾う
ルーメン,灰,現代,天上の神殿,神殿が4つそろったあとに内部2階で拾う
ルーメン,灰,現代,マール・デ・ドラゴーン,地下1階で拾う
聖なる湖,碧,現代,山奥の塔,スカイドラゴンを倒す
聖なる湖,碧,過去,コスタールの国,小さな桟橋で拾う
聖なる湖,碧,過去,ドワーフ族の集落,問題解決後に民家で拾う
魔空間の神殿,黒,過去,大灯台,裏世界でパリクナジャを倒す
魔空間の神殿,黒,過去,聖なる祭だん,階段の近くで拾う
魔空間の神殿,黒,現代,謎のほこら,いにしえの賢者からもらう
ラグラーズ,未知,現代,神の祭だんの湖,祭壇内部で石板鍛冶職人からもらう
謎の異世界,銀,現代,海底都市,グラコス5世を倒す
謎の異世界,銀,過去,ふきだまりの町,問題解決後に貸し部屋で拾う
謎の異世界,銀,現代,グランエスタード城下町,オルゴデミーラ2回目を倒した後に井戸で拾う
謎の異世界,銀,現代,メダル,ちいさなメダル50枚景品
さらなる異世界,金,過去,サンゴの洞くつ,地下1階でメイドの幽霊からもらう
さらなる異世界,金,現代,サンゴの洞くつ,海底王の家で海底王に事情説明した後に地下1階で魔物からもらう
さらなる異世界,金,現代,大滝のほら穴,内部で拾う
さらなる異世界,金,現代,謎の異世界,集落にある井戸で拾う
さらなる異世界,金,現代,コスタールの国闘技場,闘技場修羅の道で序の道をクリア
さらなる異世界,金,現代,グランエスタード地下道,さいごのカギ入手後に地下2階で拾う
さらなる異世界,金,現代,謎の異世界,4階の棺の近くで拾う
さらなる異世界,金,現代,謎の異世界,神殿でかみさまを倒す
