景品,ダーマ旅の宿過去,ダーマ旅の宿現代,ランク
メタスラの剣,◯,◯,宝箱
やまびこのぼうし,◯,◯,宝箱
メタスラの盾,◯,✕,宝箱
のこぎり刀,◯,◯,宝箱
しあわせのくつ,✕,◯,宝箱
シルバーメイル,✕,◯,宝箱
ほしふるうでわ,✕,◯,宝箱
やいばのブーメラン,◯,✕,3
まりょくのたね,◯,◯,3
メガンテのうでわ,◯,✕,3
せいどうのよろい,◯,◯,3
こおりの杖,✕,◯,3
しゅくふくの杖,✕,◯,3
こおりの盾,✕,◯,3
ドラゴンテイル,✕,◯,3
まじゅうのキバ,✕,◯,3
はじゃのつるぎ,✕,◯,3
月のおうぎ,✕,◯,3
プラチナヘッド,✕,◯,3
スパンコールドレス,✕,◯,3
まどうしのローブ,✕,◯,3
バイキングメット,✕,◯,3
やまびこのぼうし,◯,◯,2
ターバン,◯,◯,2
まほうの小ビン,◯,◯,2
てつのやり,◯,◯,2
せいどうの盾,◯,◯,2
ブーメラン,◯,◯,2
きぞくの服,◯,✕,2
おおかなづち,◯,◯,2
あみタイツ,◯,✕,2
シルクハット,◯,◯,2
皮のムチ,◯,◯,2
くさりかたびら,◯,◯,2
せいなるナイフ,◯,◯,2
おどりこの服,◯,◯,2
うさみみバンド,◯,◯,2
はでな服,◯,✕,2
こうらのよろい,◯,✕,2
まどうしの杖,◯,✕,2
キトンシールド,◯,◯,2
キメラのつばさ,◯,✕,2
シルバートレイ,◯,✕,2
毛皮のフード,◯,✕,2
上やくそう,◯,◯,2
ちからのゆびわ,◯,◯,2
てつかぶと,◯,◯,2
てつのむねあて,✕,◯,2
フライパン,✕,◯,2
モーニングスター,✕,◯,2
インテリめがね,✕,◯,2
ドルフィンシールド,✕,◯,2
フェアリーステッキ,✕,◯,2
星のおうぎ,✕,◯,2
ホーリーランス,✕,◯,2
はがねのよろい,✕,◯,2
チェーンクロス,✕,◯,2
はがねのつるぎ,✕,◯,2
てつのよろい,✕,◯,2
ほしのかけら,✕,◯,2
みかわしの服,✕,◯,2
カメのこうら,✕,◯,2
ねむりの杖,✕,◯,2
パワーナックル,✕,◯,2
ビーストウィップ,✕,◯,2
はやてのリング,✕,◯,2
てっかめん,✕,◯,2
まほうの法衣,✕,◯,2
どくがのナイフ,✕,◯,2
たびびとの服,◯,✕,1
皮の盾,◯,✕,1
いばらのムチ,◯,✕,1
どうのつるぎ,◯,✕,1
おなべのフタ,◯,✕,1
まんげつそう,◯,✕,1
どくけしそう,◯,✕,1
木のぼうし,◯,✕,1
どくがのこな,◯,◯,1
石のキバ,◯,✕,1
ヘアバンド,◯,✕,1
こんぼう,◯,✕,1
かいがらぼうし,◯,✕,1
スライムピアス,◯,◯,1
たけのやり,◯,✕,1
おおきづち,◯,✕,1
皮のドレス,◯,✕,1
やくそう,◯,◯,1
石のオノ,✕,◯,1
うろこのよろい,✕,◯,1
ブロンズナイフ,✕,◯,1
バニースーツ,✕,◯,1
せいすい,✕,◯,1
てつのツメ,✕,◯,1
てつの盾,✕,◯,1
毛皮のマント,✕,◯,1
